leaf_id,raw_file_path,is_processed_valid,reason_skipped,num_raw_points,num_processed_points,file_shape_mask,file_radial_ect,file_combined_viz
Leafsnap__abies_concolor_ny1157_01_4,Leafsnap/abies_concolor_ny1157_01_4.npy,True,,151,151,shape_masks/Leafsnap__abies_concolor_ny1157_01_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_01_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_01_4.png
Leafsnap__abies_concolor_ny1157_02_4,Leafsnap/abies_concolor_ny1157_02_4.npy,True,,170,170,shape_masks/Leafsnap__abies_concolor_ny1157_02_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_02_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_02_4.png
Leafsnap__abies_concolor_ny1157_03_4,Leafsnap/abies_concolor_ny1157_03_4.npy,True,,153,153,shape_masks/Leafsnap__abies_concolor_ny1157_03_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_03_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_03_4.png
Leafsnap__abies_concolor_ny1157_04_4,Leafsnap/abies_concolor_ny1157_04_4.npy,True,,109,109,shape_masks/Leafsnap__abies_concolor_ny1157_04_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_04_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_04_4.png
Leafsnap__abies_concolor_ny1157_05_4,Leafsnap/abies_concolor_ny1157_05_4.npy,True,,160,160,shape_masks/Leafsnap__abies_concolor_ny1157_05_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_05_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_05_4.png
Leafsnap__abies_concolor_ny1157_06_4,Leafsnap/abies_concolor_ny1157_06_4.npy,True,,153,153,shape_masks/Leafsnap__abies_concolor_ny1157_06_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_06_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_06_4.png
Leafsnap__abies_concolor_ny1157_07_4,Leafsnap/abies_concolor_ny1157_07_4.npy,True,,130,130,shape_masks/Leafsnap__abies_concolor_ny1157_07_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_07_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_07_4.png
Leafsnap__abies_concolor_ny1157_08_4,Leafsnap/abies_concolor_ny1157_08_4.npy,True,,139,139,shape_masks/Leafsnap__abies_concolor_ny1157_08_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_08_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_08_4.png
Leafsnap__abies_concolor_ny1157_09_4,Leafsnap/abies_concolor_ny1157_09_4.npy,True,,151,151,shape_masks/Leafsnap__abies_concolor_ny1157_09_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_09_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_09_4.png
Leafsnap__abies_concolor_ny1157_10_4,Leafsnap/abies_concolor_ny1157_10_4.npy,True,,146,146,shape_masks/Leafsnap__abies_concolor_ny1157_10_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_10_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_10_4.png
Leafsnap__abies_concolor_ny1157_11_4,Leafsnap/abies_concolor_ny1157_11_4.npy,True,,190,190,shape_masks/Leafsnap__abies_concolor_ny1157_11_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_11_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_11_4.png
Leafsnap__abies_concolor_ny1157_12_4,Leafsnap/abies_concolor_ny1157_12_4.npy,True,,94,94,shape_masks/Leafsnap__abies_concolor_ny1157_12_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_12_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_12_4.png
Leafsnap__abies_concolor_ny1157_13_4,Leafsnap/abies_concolor_ny1157_13_4.npy,True,,133,133,shape_masks/Leafsnap__abies_concolor_ny1157_13_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_13_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_13_4.png
Leafsnap__abies_concolor_ny1157_14_4,Leafsnap/abies_concolor_ny1157_14_4.npy,True,,174,174,shape_masks/Leafsnap__abies_concolor_ny1157_14_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_14_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_14_4.png
Leafsnap__abies_concolor_ny1157_15_4,Leafsnap/abies_concolor_ny1157_15_4.npy,True,,162,162,shape_masks/Leafsnap__abies_concolor_ny1157_15_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_15_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_15_4.png
Leafsnap__abies_concolor_ny1157_16_4,Leafsnap/abies_concolor_ny1157_16_4.npy,True,,174,174,shape_masks/Leafsnap__abies_concolor_ny1157_16_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_16_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_16_4.png
Leafsnap__abies_concolor_ny1157_17_4,Leafsnap/abies_concolor_ny1157_17_4.npy,True,,186,186,shape_masks/Leafsnap__abies_concolor_ny1157_17_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_17_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_17_4.png
Leafsnap__abies_concolor_ny1157_18_4,Leafsnap/abies_concolor_ny1157_18_4.npy,True,,137,137,shape_masks/Leafsnap__abies_concolor_ny1157_18_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_18_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_18_4.png
Leafsnap__abies_concolor_ny1157_19_4,Leafsnap/abies_concolor_ny1157_19_4.npy,True,,156,156,shape_masks/Leafsnap__abies_concolor_ny1157_19_4.png,radial_ects/Leafsnap__abies_concolor_ny1157_19_4.png,combined_viz/Leafsnap__abies_concolor_ny1157_19_4.png
